hour	dow	count
0	1	2
0	2	2
0	3	3
0	4	1
0	5	1
0	6	2
0	7	8
1	1	0
1	2	2
1	3	1
1	4	1
1	5	2
1	6	1
1	7	8
2	1	4
2	2	1
2	3	0
2	4	0
2	5	1
2	6	4
2	7	1
3	1	0
3	2	2
3	3	1
3	4	0
3	5	0
3	6	0
3	7	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
5	1	1
5	2	0
5	3	2
5	4	0
5	5	0
5	6	0
5	7	1
6	1	0
6	2	0
6	3	1
6	4	2
6	5	0
6	6	2
6	7	0
7	1	1
7	2	0
7	3	3
7	4	4
7	5	2
7	6	3
7	7	0
8	1	0
8	2	1
8	3	7
8	4	4
8	5	5
8	6	2
8	7	4
9	1	1
9	2	4
9	3	14
9	4	15
9	5	10
9	6	2
9	7	1
10	1	0
10	2	6
10	3	6
10	4	19
10	5	15
10	6	1
10	7	3
11	1	1
11	2	2
11	3	10
11	4	12
11	5	4
11	6	2
11	7	2
12	1	1
12	2	6
12	3	1
12	4	10
12	5	1
12	6	5
12	7	7
13	1	0
13	2	0
13	3	5
13	4	5
13	5	3
13	6	3
13	7	3
14	1	0
14	2	1
14	3	1
14	4	5
14	5	2
14	6	3
14	7	3
15	1	4
15	2	2
15	3	2
15	4	4
15	5	4
15	6	0
15	7	2
16	1	5
16	2	2
16	3	3
16	4	5
16	5	8
16	6	1
16	7	3
17	1	2
17	2	2
17	3	1
17	4	2
17	5	6
17	6	1
17	7	5
18	1	3
18	2	2
18	3	3
18	4	2
18	5	5
18	6	4
18	7	7
19	1	4
19	2	3
19	3	3
19	4	2
19	5	4
19	6	5
19	7	10
20	1	2
20	2	6
20	3	6
20	4	1
20	5	1
20	6	6
20	7	10
21	1	2
21	2	5
21	3	8
21	4	3
21	5	2
21	6	11
21	7	7
22	1	5
22	2	11
22	3	6
22	4	3
22	5	5
22	6	16
22	7	9
23	1	1
23	2	6
23	3	1
23	4	2
23	5	2
23	6	7
23	7	3
